,Portfolio Manager Meter ID,Meter Name,Meter Type,
275,49325200,EL5,Electric - Grid,
276,49325200,EL5,Electric - Grid,
277,49325200,EL5,Electric - Grid,
278,49325200,EL5,Electric - Grid,
279,49325200,EL5,Electric - Grid,
280,49325200,EL5,Electric - Grid,
281,49325200,EL5,Electric - Grid,
282,49325200,EL5,Electric - Grid,
283,49325200,EL5,Electric - Grid,
284,49325200,EL5,Electric - Grid,
285,49325200,EL5,Electric - Grid,
286,49325200,EL5,Electric - Grid,
287,49325200,EL5,Electric - Grid,
288,49325200,EL5,Electric - Grid,
289,49325200,EL5,Electric - Grid,
290,49325200,EL5,Electric - Grid,
291,49325200,EL5,Electric - Grid,
292,49325200,EL5,Electric - Grid,
293,49325200,EL5,Electric - Grid,
294,49325200,EL5,Electric - Grid,
295,49325200,EL5,Electric - Grid,
296,49325200,EL5,Electric - Grid,
297,49325200,EL5,Electric - Grid,
298,49325200,EL5,Electric - Grid,
299,49325200,EL5,Electric - Grid,
300,49325200,EL5,Electric - Grid,
301,49325200,EL5,Electric - Grid,
302,49325200,EL5,Electric - Grid,
303,49325200,EL5,Electric - Grid,
304,49325200,EL5,Electric - Grid,
305,49325200,EL5,Electric - Grid,
306,49325200,EL5,Electric - Grid,
307,49325200,EL5,Electric - Grid,
308,49325200,EL5,Electric - Grid,
309,49325200,EL5,Electric - Grid,
310,49325200,EL5,Electric - Grid,
311,49325200,EL5,Electric - Grid,
312,49325200,EL5,Electric - Grid,
313,49325200,EL5,Electric - Grid,
314,49325200,EL5,Electric - Grid,
315,49325200,EL5,Electric - Grid,
316,49325200,EL5,Electric - Grid,
317,49325200,EL5,Electric - Grid,
318,49325200,EL5,Electric - Grid,
319,49325200,EL5,Electric - Grid,
320,49325200,EL5,Electric - Grid,
321,97503345,EL6,Electric - Grid,
322,97503345,EL6,Electric - Grid,
323,97503345,EL6,Electric - Grid,
324,97503345,EL6,Electric - Grid,
325,97503345,EL6,Electric - Grid,
326,97503345,EL6,Electric - Grid,
327,97503345,EL6,Electric - Grid,
328,97503345,EL6,Electric - Grid,
329,97503345,EL6,Electric - Grid,
330,97503345,EL6,Electric - Grid,
331,92050612,Estimated Co-Gen Electric,Other:,
332,92050612,Estimated Co-Gen Electric,Other:,
333,92050612,Estimated Co-Gen Electric,Other:,
334,92050612,Estimated Co-Gen Electric,Other:,
335,92050612,Estimated Co-Gen Electric,Other:,
336,92050612,Estimated Co-Gen Electric,Other:,
337,92050612,Estimated Co-Gen Electric,Other:,
338,92050612,Estimated Co-Gen Electric,Other:,
339,92050612,Estimated Co-Gen Electric,Other:,
340,92050612,Estimated Co-Gen Electric,Other:,
341,92050612,Estimated Co-Gen Electric,Other:,
342,92050612,Estimated Co-Gen Electric,Other:,
343,92050612,Estimated Co-Gen Electric,Other:,
344,92050612,Estimated Co-Gen Electric,Other:,
345,92050612,Estimated Co-Gen Electric,Other:,
346,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
347,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
348,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
349,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
350,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
351,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
352,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
353,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
354,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
355,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
356,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
357,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
358,49326153,Fuel Oil Deliveries,Fuel Oil (No. 2),
